iter	Passed	Remaining
0	1	187
1	2	146
2	3	121
3	4	109
4	5	108
5	6	101
6	7	96
7	8	94
8	9	91
9	9	88
10	10	86
11	11	83
12	12	83
13	13	81
14	14	80
15	14	78
16	15	76
17	16	76
18	17	74
19	18	73
20	19	72
21	19	70
22	20	70
23	22	69
24	23	69
25	24	68
26	24	67
27	26	68
28	27	66
29	28	65
30	28	64
31	29	62
32	30	61
33	31	60
34	31	59
35	32	58
36	33	57
37	34	56
38	35	56
39	36	54
40	37	53
41	37	52
42	38	51
43	39	49
44	39	48
45	40	47
46	41	46
47	42	45
48	42	44
49	43	43
50	44	42
51	45	42
52	46	41
53	47	40
54	48	39
55	49	38
56	50	37
57	51	36
58	52	36
59	53	35
60	54	34
61	55	34
62	56	33
63	57	32
64	58	31
65	59	30
66	60	29
67	61	28
68	62	27
69	62	26
70	63	26
71	64	25
72	65	24
73	66	23
74	67	22
75	68	21
76	68	20
77	69	19
78	70	18
79	71	17
80	72	16
81	72	16
82	74	15
83	75	14
84	75	13
85	76	12
86	77	11
87	78	10
88	79	9
89	80	8
90	81	8
91	82	7
92	82	6
93	83	5
94	84	4
95	85	3
96	86	2
97	87	1
98	87	0
99	88	0
